Date,Project Name,Agreement #:,Quote Deadline,Decision Deadline,Shipping Budget,Decision Status,Official 3PL Outbound Decision,Official 3PL Inbound Decision,Offical 3PL Notified? Y/N,BOL Status,Logistics Status,Project Address,State Project is in,Meal Count,Meal Type,Shipping Quote Form Made?,Total  Miles (Each Way),Total Miles (Round Trip),Warehouse Packing Deadline,Outbound Delivery Date,Weekday #,Weekend Delivery,Outbound Liftgate? Yes or No,Outbound Volume,FTL (10 or more),Outbound Weight ,OB Quote #1- Company,OB Quote #1- Cost,OB Quote #2- Company,OB Quote #2- Cost,OB Quote #3- Company,OB Quote #3- Cost,Outbound Quote Final,Inbound Warehouse ,Inbound Pickup Date,Weekday #,Weekend Delivery,Inbound Pickup Liftgate?,Inbound Volume,FTL (10 or more),Inbound Weight,Inbound Quote #1- Company,Inbound Quote #1- Cost,Inbound Quote #2- Company,Inbound Quote #2- Cost,Inbound Quote #3- Company,Inbound Quote #3- Cost,Inbound Quote Final
5/2/2019,Wells Fargo- Orlando,3137,4/11/2019,4/25/2019,$300.00,Complete,CH Robinson,Astra,Y,Obtained,Complete,"Renaissance Orlando Airport 5445 Forbes Pl, Orlando FL 32812",FL,"22,500",RLJ,Yes ,24,48,4/26/2019,5/2/2019,5,FALSE,TBD,3,n,"4,739",Astra,$500.00,FedEx,$427.12,N/A,,$427.12,FL,5/2/2019,5,FALSE,TBD,2,n,"1,800",Astra,$250.00,FedEx,$420.00,CH,$257.78,$250.00
5/14/2019,Denver Broncos Boys & Girls Club HP,3199,4/23/2019,5/7/2019,$0.00,Complete,Astra,Astra,Y,Obtained,Complete,"Denver Broncos Boys & Girls Club 4397 Crown Blvd Denver, CO 80239 ",CO,"12,500",Hamburger Hero,Yes,382,764,,5/13/2019,2,FALSE,Yes,2,n,"2,246",Astra,$450.00,CH,$467.00,DSA,"$1,000.00",$450.00,,5/15/2019,4,FALSE,Yes,2,n,"1,302",Astra,$250.00,CH,$368.00,DSA,"$1,000.00",$250.00
5/16/2019,Voya Day Of Service- Atlanta,3214,4/25/2019,5/9/2019,"$1,000.00",Complete,Astra,Astra,N,Obtained,Complete,"5780 Powers Ferry Road NW, Atlanta GA 30327",GA,"20,000",Hamburger Hero,Yes,464,928,5/10/2019,5/15/2019,4,FALSE,No,3,n,"3,250",Astra,$572.24,CH,$400.00,FedEx,$452.93,$400.00,FL,5/16/2019,5,FALSE,No,2,n,"1,700",Astra,$271.09,CH,$400.00,FedEx,$340.00,$271.09
5/16/2019,Voya Day Of Service- Braintree,3215,4/25/2019,5/9/2019,"$1,000.00",Complete,FedEx,CH Robinson,Y,Obtained,Complete,"30 Braintree Hill Office Park, Braintree MA 02184",MA,"10,000",Hamburger Hero,Yes,"1,009","2,018",5/6/2019,5/15/2019,4,FALSE,Yes,2,n,"2,250",Astra,"$1,036.75",CH,$700.00,FedEx,$570.00,$570.00,IL,5/16/2019,5,FALSE,Yes,2,n,"1,500",Astra,$483.98,CH,$415.54,FedEx,$451.00,$415.54
5/16/2019,Voya Day Of Service- Lewiston,3217,4/25/2019,5/9/2019,"$1,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"Residence Inn Marriott 670 Turner St., Auburn ME 04210",ME,"10,000",Hamburger Hero,Yes,"1,130","2,260",5/6/2019,5/15/2019,4,FALSE,Yes,2,n,"2,250",Astra,$595.00,CH,$607.00,FedEx,$613.95,$595.00,IL,5/16/2019,5,FALSE,Yes,2,n,"1,500",Astra,$418.35,CH,$387.18,FedEx,$427.00,$387.18
5/16/2019,Voya Day Of Service- Minneapolis,3219,4/25/2019,5/9/2019,"$1,000.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"20 Washington Ave. South, Minneapolis MN 55402",MN,"15,000",Hamburger Hero,Yes,399,798,5/6/2019,5/15/2019,4,FALSE,Yes,2,n,"2,750",Astra,$885.77,CH,$387.98,FedEx,$450.00,$387.98,IL,5/16/2019,5,FALSE,Yes,2,n,"1,500",Astra,$433.75,CH,$257.88,FedEx,$420.00,$257.88
5/16/2019,Voya Day Of Service- NYC,3220,4/25/2019,5/9/2019,"$1,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"230 Park Avenue, 13th Floor, New York NY 10169",NY,"20,000",Hamburger Hero,Yes,809,"1,618",5/6/2019,5/15/2019,4,FALSE,Yes,3,n,"3,250",Astra,$905.78,CH,$800.00,FedEx,$749.01,$749.01,IL,5/17/2019,6,FALSE,Yes,2,n,"1,600",Astra,$457.00,CH,$357.00,FedEx,$488.16,$357.00
5/16/2019,Voya Day Of Service- Scottsdale,3221,4/25/2019,5/9/2019,"$1,000.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"7337 East Doubletree Ranch Rd. Suite 100, Scottsdale AZ 85258",AZ,"20,000",Hamburger Hero,Yes,"1,063","2,126",5/10/2019,5/15/2019,4,FALSE,Yes,3,n,"3,250",Astra,$675.00,CH,$693.00,FedEx,$630.00,$630.00,DFW,5/17/2019,6,FALSE,Yes,2,n,"1,600",Astra,$350.00,CH,$387.97,FedEx,$456.19,$350.00
5/16/2019,Voya Day Of Service- Somerset,3222,4/25/2019,5/9/2019,"$1,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"Fairfield Inn 315 Davidson Avenue, Somerset NJ 08873",NJ,"10,000",Hamburger Hero,Yes,798,"1,596",5/6/2019,5/15/2019,4,FALSE,Yes,2,n,"2,250",Astra,$575.32,CH,$527.00,FedEx,$537.00,$527.00,IL,5/16/2019,5,FALSE,Yes,2,n,"1,500",Astra,$322.82,CH,$387.85,FedEx,$430.29,$322.82
5/16/2019,Voya Day Of Service- Tempe,3223,4/25/2019,5/9/2019,"$1,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"1401 S. 52nd Street, Suite 115, Tempe AZ 85281",AZ,"10,000",Hamburger Hero,Yes,"1,051","2,102",5/10/2019,5/15/2019,4,FALSE,Yes,2,n,"2,250",Astra,$509.19,CH,$407.84,FedEx,$586.91,$407.84,DFW,5/16/2019,5,FALSE,Yes,2,n,"1,500",Astra,$311.63,CH,$328.25,FedEx,$502.74,$311.63
